gameId,onBlueTeam,blueWins,blueWardsPlaced,blueWardKills,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsterKills,blueDragonKills,blueHeraldKills,blueTowerKills,blueTotalGold,blueAvgLvl,blueTotalExp,blueTotalMinionsKilled,blueGoldDiff,blueExpDiff,onRedTeam,redWins,redWardsPlaced,redWardKills,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsterKills,redDragonKills,redHeraldKills,redTowerKills,redTotalGold,redAvgLvl,redTotalExp,redTotalMinionsKilled,redGoldDiff,redExpDiff
3122628643,1,1,21,2,1,12,4,17,0,0,0,0,24075,9,27815,267,3131,1365,0,0,19,3,0,4,12,7,1,1,0,1,20944,8.8,26450,233,-3131,-1365
3122645460,1,0,16,0,0,2,9,3,0,0,0,0,20028,8.4,25322,273,-4152,-4208,0,1,22,5,1,9,2,4,2,2,0,1,24180,9.2,29530,297,4152,4208
3122642527,1,0,20,2,1,6,10,9,0,0,0,0,21130,8.2,25004,269,-4455,-3775,0,1,23,5,0,10,6,10,1,1,0,0,25585,9.2,28779,267,4455,3775
3122620088,1,0,19,4,0,7,13,5,0,0,0,0,19854,8.2,24138,244,-5654,-4217,0,1,22,3,1,13,7,5,1,1,0,1,25508,9,28355,286,5654,4217
3122615574,0,1,26,2,0,10,10,9,2,2,0,0,24069,9.2,29545,287,2908,1336,1,0,16,0,1,10,10,4,0,0,0,0,21161,9,28209,250,-2908,-1336
3122601740,1,0,18,3,1,13,13,8,0,0,0,1,24665,9,27391,278,-188,156,0,1,18,3,0,13,13,9,1,1,0,1,24853,9,27235,209,188,-156
3122589557,0,1,22,2,1,6,5,5,1,0,1,2,22344,8.6,26663,215,1802,-124,1,0,17,2,0,5,6,7,1,1,0,0,20542,8.8,26787,256,-1802,124
3074668230,0,1,21,4,1,15,6,14,1,1,0,1,26976,9.6,30820,307,4851,2485,1,0,25,2,0,6,15,9,1,0,1,1,22125,9,28335,296,-4851,-2485
3073045228,0,0,21,2,0,9,11,9,1,1,0,0,23035,8.8,27177,255,-3304,-3067,1,1,23,5,1,11,9,7,0,0,0,1,26339,9.4,30244,335,3304,3067
3072870087,0,0,19,2,0,6,12,3,0,0,0,0,20306,8.6,25398,262,-4767,-3983,1,1,23,1,1,12,6,12,1,1,0,0,25073,9.2,29381,312,4767,3983
